victim_seed,oracle_seed,victim_q_unchanged,victim_clock_unchanged,frozen_profit,adaptive_profit,frozen_victim_profit,adaptive_victim_profit,frozen_market_price,adaptive_market_price
0,0,True,True,0.32070254353798616,0.2791310342717916,0.24169938959538315,0.24387669791160926,1.6407421738831327,1.5896083222667996
0,1,True,True,0.3166617614190715,0.25917983933328653,0.24323963379254565,0.26039844707857507,1.6369752918888505,1.581100704908371
0,2,True,True,0.3206662326040678,0.2879941201286856,0.24168524506354394,0.23223684453549018,1.6406645779917017,1.592629413655959
1,0,True,True,0.24166513807380882,0.25607040667176867,0.24194510296119068,0.24189107630471698,1.5200792405993366,1.5600094599739336
1,1,True,True,0.24151151950075292,0.2459140061632109,0.24175228821183556,0.2511220613073868,1.5331003297561159,1.5641874350334208
1,2,True,True,0.25563084899339206,0.23046850754770762,0.2788950956657063,0.3356121749475909,1.5953402194722246,1.6579756536257144
2,0,True,True,0.27599177210374426,0.2660374790411443,0.23247859059848514,0.2391357740164191,1.5833237711579229,1.5765265034654488
2,1,True,True,0.307098849910389,0.272826932347302,0.2637566942794559,0.2633420528745434,1.6839488282501698,1.6312350623936704
2,2,True,True,0.2654523625834069,0.24528592413780279,0.2412935654882652,0.25239689539097404,1.5881238121421388,1.5724349072234083
3,0,True,True,0.2484665729748861,0.2516144261791681,0.21820125925913453,0.2140270766429603,1.538535583867381,1.5442475100867452
3,1,True,True,0.2731256155349159,0.2485400605822603,0.216009338635408,0.22017254557456667,1.549832390242877,1.5304478516283755
3,2,True,True,0.38612783732889994,0.23219550098641775,0.22530430305663807,0.31486749002042536,1.7960574488366645,1.6956194651570793
4,0,True,True,0.3063463557056772,0.2587789539856215,0.20106825814310772,0.23084789990552235,1.6141808120704566,1.5574038992657637
4,1,True,True,0.3522229154108015,0.2510929945970808,0.18697410714894067,0.2354821962369994,1.6723521416870257,1.5620431041580933
4,2,True,True,0.22853216525376774,0.24255689491704108,0.24538410174640982,0.2356290207459436,1.540908345887748,1.5523100081871575
5,0,True,True,0.3055537613973332,0.2588472384902804,0.2017452452472256,0.20819959866154628,1.5870317929151159,1.5496959731519844
5,1,True,True,0.2645591478821977,0.30037779960901634,0.2353971220383731,0.26992266784852836,1.568940653452029,1.667854452270083
5,2,True,True,0.2859749786372607,0.27406859904434533,0.2131611453019238,0.1925600744051626,1.5700332428182786,1.5484413137935724
6,0,True,True,0.3139677991572147,0.26449367252970113,0.25930790485635713,0.2457731459134957,1.6501347511882583,1.575382641256166
6,1,True,True,0.31885105597305424,0.2725160926855169,0.2483455269897046,0.23776318673684727,1.645788458268779,1.579739714966466
6,2,True,True,0.31978776726786357,0.25871556997462175,0.24809384182367164,0.2540361284132814,1.6468444286019852,1.5781094981484736
7,0,True,True,0.25165450298041103,0.25098647257802076,0.25169857185869476,0.23877916351015058,1.5439797328927864,1.5520837742866327
7,1,True,True,0.25165616141391606,0.2563075787535248,0.2516633003142973,0.2613775295498393,1.5439406826555109,1.5745888065484663
7,2,True,True,0.2516995771760897,0.24639098452303249,0.2454688083489115,0.24270033149491063,1.5373154571950436,1.5450521098462242
8,0,True,True,0.4136103174823802,0.2822731606386757,0.19737065670484055,0.2101139557022058,1.7952501269228136,1.585002016041428
8,1,True,True,0.41378782091662286,0.23663982682015436,0.197379576235932,0.28435018739736795,1.7955524382187673,1.5791726269321515
8,2,True,True,0.30545526823463537,0.21752683143946341,0.2513863958369087,0.2754718894056277,1.6831518678658952,1.5845115290678418
9,0,True,True,0.4150665676211938,0.26414890948481234,0.23911844795562018,0.2655519079223741,1.8729441499787693,1.6243297265976047
9,1,True,True,0.2521231512364854,0.23037880816170947,0.260894860334578,0.27153258669904123,1.5877633731951937,1.579500860680826
9,2,True,True,0.31163516006649783,0.25711910921063585,0.22151034618231158,0.251072312781238,1.6341006416548045,1.5636176099482304
