layer,study,cell,N_seed,seeds,eval_metric_prefix,oracle_profit_mean,oracle_profit_sample_sd,victim_profit_mean,market_price_mean,mean_difference_vs_q_vs_q,profit_difference_vs_q_vs_q_mean,seeds_below_reference,all_seeds_below_reference_mean,exact_permutation_p_two_sided,profit_exact_permutation_p_two_sided,profit_holm_p_all_tested,bootstrap_mean_difference_ci_low,bootstrap_mean_difference_ci_high,profit_bootstrap_difference_ci_low,profit_bootstrap_difference_ci_high,market_price_difference_vs_q_vs_q_mean,market_price_exact_permutation_p_two_sided,market_price_holm_p_all_tested,market_price_bootstrap_difference_ci_low,market_price_bootstrap_difference_ci_high,inference_note,manuscript_use,information_set,holm_p_main_claims
victim_q_supervision,100k public-observation architecture probes,Q-supervised opponent-model DQN,10,"0,1,2,3,4,5,6,7,8,9",final_eval_continuation_adaptive,0.2894700704388669,0.00980366974482828,0.2508550019212882,1.6344592084299308,-0.031025978261720516,-0.031025978261720516,10,True,1.082508822446903e-05,1.082508822446903e-05,6.495052934681418e-05,-0.03895839966954972,-0.023873570103012616,-0.03895839966954972,-0.023873570103012616,-0.14973967971589922,1.082508822446903e-05,6.495052934681418e-05,-0.18541603470494925,-0.11389255852047622,Permutation tests target identical learner/reference distributions under exchangeability; learner run and mature checkpoint are the units,Victim-Q-supervised diagnostic,Public runtime features plus Victim-Q-derived auxiliary labels,6.495052934681418e-05
victim_q_supervision,100k privileged architecture diagnostics,Q-row reconstruction DQN,10,"0,1,2,3,4,5,6,7,8,9",final_eval_continuation_adaptive,0.2804739588841796,0.02262314552956213,0.2577829793024634,1.6428446549869142,-0.040022089816407896,-0.040022089816407896,10,True,1.082508822446903e-05,1.082508822446903e-05,6.495052934681418e-05,-0.056184217117712425,-0.028416974840664726,-0.056184217117712425,-0.028416974840664726,-0.14135423315891568,8.660070579575224e-05,0.00017320141159150447,-0.1871821207045659,-0.09556868717146012,Permutation tests target identical learner/reference distributions under exchangeability; learner run and mature checkpoint are the units,Victim-Q-supervised representation diagnostic,Public observations plus Victim-Q auxiliary target,6.495052934681418e-05
victim_model_access,150k privileged architecture diagnostics,"Model-based Q-update rollout planner, H=5",10,"0,1,2,3,4,5,6,7,8,9",final_eval,0.2959370079148968,0.00023559461092332725,0.2503350593980867,1.6651325852134264,-0.024559040785690666,-0.024559040785690666,10,True,1.082508822446903e-05,1.082508822446903e-05,6.495052934681418e-05,-0.0296045755616873,-0.019656752394409845,-0.0296045755616873,-0.019656752394409845,-0.11906630293240347,1.082508822446903e-05,6.495052934681418e-05,-0.1462898793268992,-0.09556409897508227,Permutation tests target identical learner/reference distributions under exchangeability; learner run and mature checkpoint are the units,"Victim-model-access diagnostic; default/fresh eval metrics, not continuation-adaptive",Public state plus Victim Q-update rollout model,6.495052934681418e-05
